"UTC date/time","Unix UTC timestamp","lat","lon","callsign","wind from","knots","gust","barometer","air temp","dew point","water temp"
"2013-Feb-19 0134", 1361237640, 68.461000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0008", 1361232480, 68.461000, -65.246000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-19 0004", 1361232240, 68.461000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2349", 1361231340, 68.461000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2224", 1361226240, 68.462000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2219", 1361225940, 68.462000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2212", 1361225520, 68.462000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2209", 1361225340, 68.462000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2046", 1361220360, 68.462000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2043", 1361220180, 68.462000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2029", 1361219340, 68.462000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 2027", 1361219220, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1909", 1361214540, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1908", 1361214480, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1903", 1361214180, 68.459000, -65.250000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1853", 1361213580, 68.459000, -65.250000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1852", 1361213520, 68.459000, -65.250000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1849", 1361213340, 68.460000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1726", 1361208360, 68.460000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1722", 1361208120, 68.461000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1716", 1361207760, 68.461000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1711", 1361207460, 68.463000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1549", 1361202540, 68.461000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1541", 1361202060, 68.461000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1534", 1361201640, 68.463000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1525", 1361201100, 68.463000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1408", 1361196480, 68.463000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1406", 1361196360, 68.463000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1354", 1361195640, 68.463000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1352", 1361195520, 68.463000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1350", 1361195400, 68.463000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1230", 1361190600, 68.463000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1214", 1361189640, 68.463000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1048", 1361184480, 68.463000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1047", 1361184420, 68.463000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1039", 1361183940, 68.460000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 1031", 1361183460, 68.460000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0909", 1361178540, 68.460000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0855", 1361177700, 68.460000, -65.241000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0716", 1361171760, 68.461000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0331", 1361158260, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0158", 1361152680, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0154", 1361152440, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0018", 1361146680, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0016", 1361146560, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-18 0011", 1361146260, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 2241", 1361140860, 68.462000, -65.245000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 2235", 1361140500, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 2233", 1361140380, 68.461000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 2230", 1361140200, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 2108", 1361135280, 68.461000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 2053", 1361134380, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1926", 1361129160, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1919", 1361128740, 68.461000, -65.247000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-17 1916", 1361128560, 68.460000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
